product_a,product_b,support,confidence_ab,confidence_ba,lift,pair_count
PAPER BUNTING RETROSPOT,PLEASE ONE PERSON METAL SIGN,0.0021,0.0523,0.0362,0.9,23
JUMBO BAG PINK POLKADOT,REX CASH+CARRY JUMBO SHOPPER,0.0048,0.0652,0.066,0.9,52
HAND WARMER OWL DESIGN,SET OF 3 CAKE TINS PANTRY DESIGN,0.0039,0.0802,0.0434,0.9,42
DOORMAT KEEP CALM AND COME IN,LUNCH BAG WOODLAND,0.0028,0.0554,0.0464,0.9,31
ALARM CLOCK BAKELIKE PINK,DOORMAT NEW ENGLAND,0.0017,0.039,0.04,0.9,19
GINGERBREAD MAN COOKIE CUTTER,LUNCH BAG APPLE DESIGN,0.0026,0.0606,0.0379,0.9,28
DOORMAT KEEP CALM AND COME IN,NATURAL SLATE HEART CHALKBOARD,0.0038,0.0732,0.0462,0.9,41
JUMBO BAG PINK VINTAGE PAISLEY,ROSES REGENCY TEACUP AND SAUCER,0.0028,0.0546,0.0452,0.9,30
CHARLOTTE BAG SUKI DESIGN,PAPER CHAIN KIT 50'S CHRISTMAS,0.0033,0.0733,0.0404,0.9,36
BAKING SET 9 PIECE RETROSPOT,JUMBO  BAG BAROQUE BLACK WHITE,0.0031,0.0507,0.0556,0.9,34
HAND OVER THE CHOCOLATE   SIGN,PARTY BUNTING,0.0051,0.0989,0.0467,0.9,56
HAND WARMER OWL DESIGN,SET/20 RED RETROSPOT PAPER NAPKINS,0.0022,0.0458,0.0433,0.9,24
HEART OF WICKER LARGE,JUMBO BAG STRAWBERRY,0.0036,0.0504,0.0635,0.9,39
SMALL WHITE HEART OF WICKER,VICTORIAN GLASS HANGING T-LIGHT,0.003,0.0589,0.0463,0.9,33
PINK REGENCY TEACUP AND SAUCER,RED HANGING HEART T-LIGHT HOLDER,0.0023,0.0518,0.0398,0.9,25
DOORMAT KEEP CALM AND COME IN,RED HANGING HEART T-LIGHT HOLDER,0.0027,0.0518,0.0462,0.9,29
RABBIT NIGHT LIGHT,WOODEN FRAME ANTIQUE WHITE,0.0031,0.0628,0.0446,0.9,34
HOT WATER BOTTLE TEA AND SYMPATHY,LUNCH BAG CARS BLUE,0.0032,0.0725,0.04,0.9,35
GREEN REGENCY TEACUP AND SAUCER,RABBIT NIGHT LIGHT,0.0025,0.0445,0.0499,0.9,27
DOORMAT RED RETROSPOT,LUNCH BAG VINTAGE LEAF DESIGN,0.002,0.0453,0.0401,0.9,22
GREEN REGENCY TEACUP AND SAUCER,LUNCH BAG CARS BLUE,0.004,0.0725,0.0502,0.9,44
JAM MAKING SET PRINTED,JUMBO STORAGE BAG SUKI,0.0038,0.059,0.0574,0.9,41
LUNCH BAG SUKI DESIGN,SET OF 3 CAKE TINS PANTRY DESIGN,0.0061,0.0794,0.0683,0.9,66
LUNCH BAG SPACEBOY DESIGN,SET OF 6 SPICE TINS PANTRY DESIGN,0.0038,0.0473,0.0716,0.9,41
RETROSPOT HEART HOT WATER BOTTLE,VICTORIAN GLASS HANGING T-LIGHT,0.0026,0.0585,0.0393,0.9,28
JUMBO  BAG BAROQUE BLACK WHITE,PACK OF 60 PINK PAISLEY CAKE CASES,0.0027,0.0474,0.0501,0.89,29
HEART OF WICKER SMALL,PINK CREAM FELT CRAFT TRINKET BOX,0.0031,0.038,0.0733,0.89,34
DOORMAT KEEP CALM AND COME IN,HANGING HEART JAR T-LIGHT HOLDER,0.0021,0.0411,0.0457,0.89,23
LUNCH BAG VINTAGE DOILY,PARTY BUNTING,0.0043,0.0977,0.0392,0.89,47
CHARLOTTE BAG SUKI DESIGN,SET OF 6 SPICE TINS PANTRY DESIGN,0.0021,0.0468,0.0401,0.89,23
HEART OF WICKER LARGE,SET/20 RED RETROSPOT PAPER NAPKINS,0.0032,0.0452,0.0632,0.89,35
NATURAL SLATE HEART CHALKBOARD,PINK REGENCY TEACUP AND SAUCER,0.0032,0.0394,0.0725,0.89,35
JAM MAKING SET WITH JARS,SCOTTIE DOG HOT WATER BOTTLE,0.0033,0.0492,0.0598,0.89,36
HEART OF WICKER SMALL,LUNCH BAG VINTAGE DOILY,0.0032,0.0391,0.0728,0.89,35
HOT WATER BOTTLE I AM SO POORLY,LUNCH BAG RED RETROSPOT,0.0039,0.0905,0.0387,0.89,43
ANTIQUE SILVER T-LIGHT GLASS,PACK OF 72 RETROSPOT CAKE CASES,0.0029,0.0672,0.0386,0.89,32
ANTIQUE SILVER T-LIGHT GLASS,GIN + TONIC DIET METAL SIGN,0.0022,0.0504,0.0388,0.89,24
DOORMAT NEW ENGLAND,VINTAGE SNAP CARDS,0.0021,0.0484,0.0389,0.89,23
JAM MAKING SET PRINTED,JUMBO BAG ALPHABET,0.0036,0.0561,0.0567,0.89,39
ALARM CLOCK BAKELIKE RED,LARGE WHITE HEART OF WICKER,0.0028,0.0402,0.061,0.89,30
LOVE BUILDING BLOCK WORD,LUNCH BAG ALPHABET DESIGN,0.0023,0.048,0.0424,0.89,25
HAND OVER THE CHOCOLATE   SIGN,PAPER CHAIN KIT 50'S CHRISTMAS,0.0038,0.0724,0.046,0.89,41
ANTIQUE SILVER T-LIGHT GLASS,JUMBO BAG APPLES,0.0022,0.0504,0.0388,0.89,24
ALARM CLOCK BAKELIKE PINK,RED HANGING HEART T-LIGHT HOLDER,0.0023,0.0513,0.0398,0.89,25
HEART OF WICKER SMALL,PAPER CHAIN KIT 50'S CHRISTMAS,0.006,0.0727,0.073,0.89,65
LUNCH BAG CARS BLUE,SET OF 6 SPICE TINS PANTRY DESIGN,0.0038,0.0468,0.0716,0.89,41
DOORMAT UNION FLAG,SPACEBOY LUNCH BOX,0.0017,0.0402,0.0367,0.89,18
JUMBO BAG ALPHABET,SET/5 RED RETROSPOT LID GLASS BOWLS,0.0035,0.0552,0.0563,0.89,38
BAKING SET 9 PIECE RETROSPOT,DOORMAT NEW ENGLAND,0.0024,0.0388,0.0547,0.89,26
JUMBO BAG STRAWBERRY,PAPER BUNTING RETROSPOT,0.002,0.0358,0.05,0.89,22
HANGING HEART JAR T-LIGHT HOLDER,LUNCH BAG SUKI DESIGN,0.0031,0.0676,0.0409,0.89,34
ASSORTED COLOUR BIRD ORNAMENT,GINGERBREAD MAN COOKIE CUTTER,0.0042,0.0379,0.0996,0.89,46
COLOUR GLASS T-LIGHT HOLDER HANGING,SMALL WHITE HEART OF WICKER,0.002,0.0455,0.0393,0.89,22
DOORMAT UNION FLAG,LARGE WHITE HEART OF WICKER,0.0017,0.0402,0.0366,0.89,18
GIN + TONIC DIET METAL SIGN,VINTAGE SNAP CARDS,0.0028,0.0485,0.0508,0.89,30
BAKING SET 9 PIECE RETROSPOT,LUNCH BAG VINTAGE LEAF DESIGN,0.0028,0.0448,0.0546,0.89,30
HEART OF WICKER LARGE,SET OF 4 PANTRY JELLY MOULDS,0.0044,0.062,0.0632,0.89,48
CHOCOLATE HOT WATER BOTTLE,RETROSPOT TEA SET CERAMIC 11 PC,0.0031,0.0526,0.053,0.89,34
HANGING HEART JAR T-LIGHT HOLDER,PINK CREAM FELT CRAFT TRINKET BOX,0.0017,0.0378,0.0409,0.89,19
LUNCH BAG VINTAGE DOILY,PLEASE ONE PERSON METAL SIGN,0.0023,0.052,0.0394,0.89,25
ANTIQUE SILVER T-LIGHT GLASS,WHITE HANGING HEART T-LIGHT HOLDER,0.0064,0.1471,0.039,0.89,70
JUMBO BAG APPLES,WOOD BLACK BOARD ANT WHITE FINISH,0.0025,0.0436,0.0503,0.89,27
JUMBO BAG STRAWBERRY,PACK OF 60 PINK PAISLEY CAKE CASES,0.0027,0.0472,0.0501,0.89,29
JUMBO BAG VINTAGE LEAF,RED HANGING HEART T-LIGHT HOLDER,0.0032,0.0504,0.0557,0.88,35
LUNCH BAG PINK POLKADOT,SET OF 6 SPICE TINS PANTRY DESIGN,0.0036,0.0463,0.0681,0.88,39
PACK OF 72 RETROSPOT CAKE CASES,SCOTTIE DOG HOT WATER BOTTLE,0.0037,0.0483,0.0664,0.88,40
ALARM CLOCK BAKELIKE PINK,REX CASH+CARRY JUMBO SHOPPER,0.0028,0.0637,0.0393,0.88,31
LUNCH BAG CARS BLUE,ROSES REGENCY TEACUP AND SAUCER,0.0043,0.0537,0.0708,0.88,47
LOVE BUILDING BLOCK WORD,LUNCH BAG VINTAGE LEAF DESIGN,0.0021,0.0441,0.0419,0.88,23
JUMBO BAG VINTAGE LEAF,VICTORIAN GLASS HANGING T-LIGHT,0.0037,0.0576,0.0562,0.88,40
PAPER BUNTING RETROSPOT,SET OF 3 REGENCY CAKE TINS,0.0017,0.0432,0.0355,0.88,19
LUNCH BAG PINK POLKADOT,SCOTTIE DOG HOT WATER BOTTLE,0.0038,0.0487,0.0681,0.88,41
LUNCH BAG DOLLY GIRL DESIGN,NATURAL SLATE HEART CHALKBOARD,0.0034,0.0717,0.0417,0.88,37
DOORMAT NEW ENGLAND,LUNCH BAG SUKI DESIGN,0.0029,0.0674,0.0385,0.88,32
GREY HEART HOT WATER BOTTLE,LUNCH BAG APPLE DESIGN,0.0026,0.0594,0.0379,0.88,28
CHILLI LIGHTS,SET OF 6 SPICE TINS PANTRY DESIGN,0.0018,0.0461,0.0349,0.88,20
ASSORTED COLOUR BIRD ORNAMENT,PAPER BUNTING RETROSPOT,0.0039,0.0354,0.0977,0.88,43
CHARLOTTE BAG SUKI DESIGN,CLOTHES PEGS RETROSPOT PACK 24,0.0019,0.0428,0.0395,0.88,21
ASSORTED COLOUR BIRD ORNAMENT,LUNCH BAG SPACEBOY DESIGN,0.0078,0.07,0.098,0.88,85
DOORMAT RED RETROSPOT,PINK REGENCY TEACUP AND SAUCER,0.0017,0.0391,0.0393,0.88,19
BAKING SET 9 PIECE RETROSPOT,HOT WATER BOTTLE KEEP CALM,0.0033,0.0537,0.054,0.88,36
DOORMAT KEEP CALM AND COME IN,WHITE HANGING HEART T-LIGHT HOLDER,0.0074,0.1446,0.0451,0.88,81
JUMBO BAG APPLES,WOODEN PICTURE FRAME WHITE FINISH,0.0039,0.0679,0.0499,0.88,42
ASSORTED COLOUR BIRD ORNAMENT,LUNCH BAG  BLACK SKULL.,0.0088,0.0791,0.0979,0.88,96
HOME BUILDING BLOCK WORD,LUNCH BAG APPLE DESIGN,0.0035,0.0594,0.0515,0.88,38
JAM MAKING SET PRINTED,WOODEN PICTURE FRAME WHITE FINISH,0.0043,0.0676,0.0559,0.88,47
HOT WATER BOTTLE I AM SO POORLY,LUNCH BAG SUKI DESIGN,0.0029,0.0674,0.0385,0.88,32
PINK REGENCY TEACUP AND SAUCER,WOOD BLACK BOARD ANT WHITE FINISH,0.0019,0.0435,0.0391,0.88,21
ANTIQUE SILVER T-LIGHT GLASS,SCOTTIE DOG HOT WATER BOTTLE,0.0021,0.0483,0.0382,0.88,23
HOT WATER BOTTLE TEA AND SYMPATHY,PACK OF 60 DINOSAUR CAKE CASES,0.0017,0.0373,0.0388,0.88,18
HAND WARMER OWL DESIGN,JAM MAKING SET WITH JARS,0.0028,0.0592,0.0424,0.88,31
HOT WATER BOTTLE TEA AND SYMPATHY,WOOD BLACK BOARD ANT WHITE FINISH,0.0019,0.0435,0.0391,0.88,21
BAKING SET 9 PIECE RETROSPOT,WOOD 2 DRAWER CABINET WHITE FINISH,0.0024,0.0388,0.0543,0.88,26
DOORMAT RED RETROSPOT,HOT WATER BOTTLE TEA AND SYMPATHY,0.0017,0.0391,0.0393,0.88,19
HOME BUILDING BLOCK WORD,JAM MAKING SET PRINTED,0.0033,0.0563,0.0518,0.88,36
REGENCY CAKESTAND 3 TIER,VINTAGE SNAP CARDS,0.0057,0.0478,0.1049,0.88,62
RETROSPOT TEA SET CERAMIC 11 PC,SMALL WHITE HEART OF WICKER,0.0027,0.0452,0.0518,0.88,29
LUNCH BAG CARS BLUE,WOODEN FRAME ANTIQUE WHITE,0.005,0.0616,0.0709,0.88,54
LUNCH BAG CARS BLUE,REGENCY CAKESTAND 3 TIER,0.0084,0.105,0.0709,0.88,92
CHOCOLATE HOT WATER BOTTLE,LUNCH BAG WOODLAND,0.0032,0.0541,0.0524,0.88,35
HOT WATER BOTTLE KEEP CALM,WOOD BLACK BOARD ANT WHITE FINISH,0.0027,0.0435,0.054,0.88,29
PINK CREAM FELT CRAFT TRINKET BOX,RETROSPOT HEART HOT WATER BOTTLE,0.0017,0.0388,0.0376,0.88,18
SCOTTIE DOG HOT WATER BOTTLE,SET OF 3 REGENCY CAKE TINS,0.0024,0.0432,0.0486,0.88,26
HAND OVER THE CHOCOLATE   SIGN,LUNCH BAG VINTAGE DOILY,0.002,0.0389,0.0457,0.88,22
LUNCH BAG RED RETROSPOT,SCOTTIE DOG HOT WATER BOTTLE,0.005,0.0486,0.0897,0.88,54
JUMBO SHOPPER VINTAGE RED PAISLEY,WOOD BLACK BOARD ANT WHITE FINISH,0.0029,0.0432,0.0596,0.88,32
LUNCH BAG SPACEBOY DESIGN,SCOTTIE DOG HOT WATER BOTTLE,0.0039,0.0484,0.0698,0.88,42
JUMBO BAG ALPHABET,SMALL WHITE HEART OF WICKER,0.0028,0.0451,0.0554,0.88,31
ASSORTED COLOUR BIRD ORNAMENT,GARDENERS KNEELING PAD CUP OF TEA,0.0056,0.0502,0.0984,0.88,61
LUNCH BAG SPACEBOY DESIGN,ROSES REGENCY TEACUP AND SAUCER,0.0042,0.0531,0.0693,0.87,46
COOK WITH WINE METAL SIGN,LUNCH BAG APPLE DESIGN,0.0029,0.0586,0.0434,0.87,32
GREY HEART HOT WATER BOTTLE,LUNCH BAG CARS BLUE,0.003,0.0701,0.0377,0.87,33
6 RIBBONS RUSTIC CHARM,JUMBO BAG PINK POLKADOT,0.0035,0.0638,0.0476,0.87,38
60 TEATIME FAIRY CAKE CASES,GREY HEART HOT WATER BOTTLE,0.002,0.0377,0.0467,0.87,22
COOK WITH WINE METAL SIGN,JUMBO STORAGE BAG SUKI,0.0028,0.0568,0.0434,0.87,31
HEART OF WICKER SMALL,JUMBO BAG 50'S CHRISTMAS,0.0035,0.0425,0.0712,0.87,38
JAM MAKING SET PRINTED,LUNCH BAG SUKI DESIGN,0.0042,0.0662,0.0554,0.87,46
CHARLOTTE BAG SUKI DESIGN,PLEASE ONE PERSON METAL SIGN,0.0023,0.0509,0.0394,0.87,25
JUMBO BAG STRAWBERRY,SET OF 6 SPICE TINS PANTRY DESIGN,0.0026,0.0456,0.0489,0.87,28
JAM MAKING SET PRINTED,SMALL WHITE HEART OF WICKER,0.0028,0.0446,0.0554,0.87,31
BAKING SET 9 PIECE RETROSPOT,SCOTTIE DOG HOT WATER BOTTLE,0.0029,0.0478,0.0532,0.87,32
LUNCH BAG SUKI DESIGN,REGENCY CAKESTAND 3 TIER,0.0079,0.1035,0.0663,0.87,86
LUNCH BAG SUKI DESIGN,VICTORIAN GLASS HANGING T-LIGHT,0.0043,0.0566,0.066,0.87,47
SPACEBOY LUNCH BOX,WOOD BLACK BOARD ANT WHITE FINISH,0.0019,0.0429,0.0391,0.87,21
HEART OF WICKER LARGE,JUMBO BAG VINTAGE DOILY,0.0031,0.0439,0.0616,0.87,34
HOT WATER BOTTLE KEEP CALM,LUNCH BAG RED RETROSPOT,0.0054,0.0885,0.0531,0.87,59
HAND OVER THE CHOCOLATE   SIGN,SPOTTY BUNTING,0.0036,0.0689,0.045,0.87,39
GINGERBREAD MAN COOKIE CUTTER,HEART OF WICKER SMALL,0.003,0.0714,0.0369,0.87,33
LUNCH BAG SUKI DESIGN,SCOTTIE DOG HOT WATER BOTTLE,0.0037,0.0481,0.0664,0.87,40
HEART OF WICKER LARGE,PARTY BUNTING,0.0068,0.0956,0.0617,0.87,74
DOORMAT NEW ENGLAND,HANGING HEART JAR T-LIGHT HOLDER,0.0017,0.04,0.0378,0.87,19
COOK WITH WINE METAL SIGN,LUNCH BAG VINTAGE DOILY,0.0019,0.0385,0.0437,0.87,21
HOT WATER BOTTLE TEA AND SYMPATHY,LUNCH BAG SUKI DESIGN,0.0029,0.0663,0.0385,0.87,32
LARGE WHITE HEART OF WICKER,PLEASE ONE PERSON METAL SIGN,0.0023,0.0508,0.0394,0.87,25
LUNCH BAG VINTAGE LEAF DESIGN,RETROSPOT HEART HOT WATER BOTTLE,0.0019,0.0383,0.0438,0.87,21
HEART OF WICKER LARGE,JAM MAKING SET WITH JARS,0.0041,0.0581,0.0616,0.87,45
ALARM CLOCK BAKELIKE GREEN,JUMBO BAG ALPHABET,0.0034,0.0548,0.0538,0.87,37
PAPER CHAIN KIT 50'S CHRISTMAS,SET OF 3 CAKE TINS PANTRY DESIGN,0.0063,0.0774,0.0714,0.87,69
JUMBO BAG APPLES,VICTORIAN GLASS HANGING T-LIGHT,0.0032,0.0565,0.0492,0.87,35
LOVE BUILDING BLOCK WORD,SCOTTIE DOG HOT WATER BOTTLE,0.0023,0.048,0.0415,0.87,25
JUMBO BAG APPLES,PAPER CHAIN KIT 50'S CHRISTMAS,0.004,0.0711,0.0494,0.87,44
JAM MAKING SET WITH JARS,LUNCH BAG VINTAGE LEAF DESIGN,0.0029,0.0438,0.0583,0.87,32
LUNCH BAG SUKI DESIGN,ROSES REGENCY TEACUP AND SAUCER,0.004,0.0529,0.0663,0.87,44
GREEN REGENCY TEACUP AND SAUCER,LUNCH BAG SUKI DESIGN,0.0037,0.0659,0.0481,0.87,40
PAPER CHAIN KIT VINTAGE CHRISTMAS,SET OF 6 SPICE TINS PANTRY DESIGN,0.0028,0.0459,0.0524,0.87,30
CHILLI LIGHTS,JUMBO BAG VINTAGE DOILY,0.0017,0.0438,0.0344,0.87,19
HEART OF WICKER SMALL,REGENCY CAKESTAND 3 TIER,0.0085,0.104,0.0717,0.87,93
JAM MAKING SET PRINTED,LUNCH BAG APPLE DESIGN,0.0038,0.059,0.0556,0.87,41
DOORMAT NEW ENGLAND,LUNCH BAG APPLE DESIGN,0.0026,0.0589,0.0379,0.87,28
COOK WITH WINE METAL SIGN,JUMBO BAG RED RETROSPOT,0.0056,0.1117,0.0434,0.87,61
PAPER BUNTING RETROSPOT,WHITE HANGING HEART T-LIGHT HOLDER,0.0058,0.1432,0.0351,0.87,63
PACK OF 60 PINK PAISLEY CAKE CASES,RETROSPOT HEART HOT WATER BOTTLE,0.002,0.038,0.0459,0.87,22
RABBIT NIGHT LIGHT,REGENCY CAKESTAND 3 TIER,0.0051,0.1035,0.0432,0.87,56
6 RIBBONS RUSTIC CHARM,LUNCH BAG ALPHABET DESIGN,0.0026,0.047,0.0475,0.87,28
ALARM CLOCK BAKELIKE RED,LUNCH BAG PINK POLKADOT,0.0046,0.067,0.0594,0.87,50
HOME BUILDING BLOCK WORD,JUMBO BAG PINK VINTAGE PAISLEY,0.0026,0.0437,0.051,0.87,28
LOVE BUILDING BLOCK WORD,PACK OF 60 DINOSAUR CAKE CASES,0.0017,0.0365,0.0409,0.86,19
ALARM CLOCK BAKELIKE GREEN,DOORMAT RED RETROSPOT,0.0024,0.0385,0.0535,0.86,26
JUMBO BAG 50'S CHRISTMAS,WHITE HANGING HEART T-LIGHT HOLDER,0.007,0.1423,0.0423,0.86,76
6 RIBBONS RUSTIC CHARM,CHARLOTTE BAG SUKI DESIGN,0.0021,0.0386,0.0468,0.86,23
HEART OF WICKER LARGE,SPACEBOY LUNCH BOX,0.0028,0.0388,0.0612,0.86,30
PAPER CHAIN KIT VINTAGE CHRISTMAS,ROSES REGENCY TEACUP AND SAUCER,0.0031,0.0521,0.0512,0.86,34
COLOUR GLASS T-LIGHT HOLDER HANGING,REX CASH+CARRY JUMBO SHOPPER,0.0028,0.062,0.0381,0.86,30
LUNCH BAG RED RETROSPOT,WOOD BLACK BOARD ANT WHITE FINISH,0.0043,0.0423,0.0875,0.86,47
HANGING HEART JAR T-LIGHT HOLDER,SCOTTIE DOG HOT WATER BOTTLE,0.0022,0.0477,0.0399,0.86,24
LUNCH BAG RED RETROSPOT,REX CASH+CARRY JUMBO SHOPPER,0.0063,0.0621,0.0876,0.86,69
LUNCH BAG ALPHABET DESIGN,WOODEN PICTURE FRAME WHITE FINISH,0.0036,0.0661,0.0464,0.86,39
LUNCH BAG APPLE DESIGN,REX CASH+CARRY JUMBO SHOPPER,0.0042,0.0623,0.0584,0.86,46
LUNCH BAG VINTAGE LEAF DESIGN,PINK REGENCY TEACUP AND SAUCER,0.0019,0.0383,0.0435,0.86,21
COOK WITH WINE METAL SIGN,PAPER BUNTING RETROSPOT,0.0017,0.0348,0.0432,0.86,19
JAM MAKING SET WITH JARS,RABBIT NIGHT LIGHT,0.0028,0.0424,0.0573,0.86,31
ASSORTED COLOUR BIRD ORNAMENT,SET/20 RED RETROSPOT PAPER NAPKINS,0.0049,0.0437,0.0957,0.86,53
COOK WITH WINE METAL SIGN,PINK CREAM FELT CRAFT TRINKET BOX,0.0018,0.0366,0.0431,0.86,20
LUNCH BAG DOLLY GIRL DESIGN,RABBIT NIGHT LIGHT,0.002,0.0426,0.0407,0.86,22
SCOTTIE DOG HOT WATER BOTTLE,VINTAGE SNAP CARDS,0.0026,0.0465,0.0474,0.86,28
JUMBO BAG RED RETROSPOT,SET OF 3 REGENCY CAKE TINS,0.0054,0.042,0.1103,0.86,59
HOT WATER BOTTLE TEA AND SYMPATHY,SET OF 4 PANTRY JELLY MOULDS,0.0027,0.06,0.0382,0.86,29
HEART OF WICKER SMALL,LUNCH BAG APPLE DESIGN,0.0048,0.0582,0.0705,0.86,52
6 RIBBONS RUSTIC CHARM,JUMBO BAG RED RETROSPOT,0.0061,0.1107,0.047,0.86,66
ASSORTED COLOUR BIRD ORNAMENT,PLEASE ONE PERSON METAL SIGN,0.0056,0.0502,0.0961,0.86,61
GIN + TONIC DIET METAL SIGN,JUMBO BAG VINTAGE DOILY,0.0025,0.0436,0.0489,0.86,27
GINGERBREAD MAN COOKIE CUTTER,JUMBO BAG VINTAGE DOILY,0.0018,0.0433,0.0362,0.86,20
PAPER CHAIN KIT 50'S CHRISTMAS,RED RETROSPOT CHARLOTTE BAG,0.0039,0.0471,0.07,0.86,42
VINTAGE SNAP CARDS,WOODEN PICTURE FRAME WHITE FINISH,0.0036,0.066,0.0464,0.86,39
POPCORN HOLDER,WOODEN PICTURE FRAME WHITE FINISH,0.0033,0.0663,0.0428,0.86,36
JUMBO BAG PINK VINTAGE PAISLEY,WOODEN FRAME ANTIQUE WHITE,0.003,0.0601,0.0433,0.86,33
LUNCH BAG ALPHABET DESIGN,SCOTTIE DOG HOT WATER BOTTLE,0.0026,0.0475,0.0465,0.86,28
DOORMAT NEW ENGLAND,SMALL WHITE HEART OF WICKER,0.0019,0.0442,0.0375,0.86,21
ANTIQUE SILVER T-LIGHT GLASS,CLOTHES PEGS RETROSPOT PACK 24,0.0018,0.042,0.0376,0.86,20
HOT WATER BOTTLE TEA AND SYMPATHY,NATURAL SLATE HEART CHALKBOARD,0.0031,0.0704,0.0383,0.86,34
ALARM CLOCK BAKELIKE RED,HOT WATER BOTTLE I AM SO POORLY,0.0026,0.0375,0.0589,0.86,28
PLEASE ONE PERSON METAL SIGN,RETROSPOT TEA SET CERAMIC 11 PC,0.0029,0.0504,0.0499,0.86,32
LUNCH BAG VINTAGE DOILY,VICTORIAN GLASS HANGING T-LIGHT,0.0025,0.0561,0.0379,0.86,27
LUNCH BAG  BLACK SKULL.,RETROSPOT HEART HOT WATER BOTTLE,0.0034,0.0377,0.0772,0.86,37
JUMBO  BAG BAROQUE BLACK WHITE,NATURAL SLATE HEART CHALKBOARD,0.0039,0.0703,0.0484,0.86,43
ALARM CLOCK BAKELIKE RED,WOODEN FRAME ANTIQUE WHITE,0.0041,0.0603,0.0591,0.86,45
LUNCH BAG PINK POLKADOT,PINK REGENCY TEACUP AND SAUCER,0.0029,0.038,0.0663,0.86,32
LUNCH BAG PINK POLKADOT,VINTAGE SNAP CARDS,0.0036,0.0463,0.066,0.85,39
CHARLOTTE BAG SUKI DESIGN,WOODEN FRAME ANTIQUE WHITE,0.0027,0.0591,0.0381,0.85,29
HAND WARMER OWL DESIGN,SET OF 4 PANTRY JELLY MOULDS,0.0028,0.0592,0.0408,0.85,31
DOORMAT NEW ENGLAND,GARDENERS KNEELING PAD CUP OF TEA,0.0021,0.0484,0.0371,0.85,23
CHOCOLATE HOT WATER BOTTLE,LUNCH BAG DOLLY GIRL DESIGN,0.0024,0.0402,0.0504,0.85,26
NATURAL SLATE HEART CHALKBOARD,PAPER CHAIN KIT 50'S CHRISTMAS,0.0057,0.0698,0.0696,0.85,62
LUNCH BAG VINTAGE LEAF DESIGN,PAPER CHAIN KIT 50'S CHRISTMAS,0.0035,0.0692,0.0426,0.85,38
GIN + TONIC DIET METAL SIGN,JUMBO BAG APPLES,0.0028,0.0485,0.0485,0.85,30
LUNCH BAG APPLE DESIGN,NATURAL SLATE HEART CHALKBOARD,0.0047,0.0691,0.0574,0.85,51
ASSORTED COLOUR BIRD ORNAMENT,CHILLI LIGHTS,0.0038,0.0338,0.0945,0.85,41
LUNCH BAG RED RETROSPOT,PLEASE ONE PERSON METAL SIGN,0.005,0.0495,0.0866,0.85,55
DOORMAT KEEP CALM AND COME IN,PACK OF 72 RETROSPOT CAKE CASES,0.0033,0.0643,0.0435,0.85,36
LUNCH BAG VINTAGE DOILY,PINK REGENCY TEACUP AND SAUCER,0.0017,0.0374,0.0373,0.85,18
ALARM CLOCK BAKELIKE RED,HEART OF WICKER LARGE,0.0041,0.0603,0.0581,0.85,45
SCOTTIE DOG HOT WATER BOTTLE,SPACEBOY LUNCH BOX,0.0021,0.0382,0.0469,0.85,23
DOORMAT KEEP CALM AND COME IN,SET OF 6 SPICE TINS PANTRY DESIGN,0.0023,0.0446,0.0436,0.85,25
LUNCH BAG SUKI DESIGN,PLEASE ONE PERSON METAL SIGN,0.0038,0.0493,0.0646,0.85,41
GREY HEART HOT WATER BOTTLE,SET OF 4 PANTRY JELLY MOULDS,0.0026,0.0594,0.0369,0.85,28
ALARM CLOCK BAKELIKE GREEN,HEART OF WICKER SMALL,0.0043,0.0696,0.0526,0.85,47
PINK REGENCY TEACUP AND SAUCER,SMALL WHITE HEART OF WICKER,0.0019,0.0435,0.0375,0.85,21
HEART OF WICKER SMALL,POPCORN HOLDER,0.0035,0.0425,0.07,0.85,38
GINGERBREAD MAN COOKIE CUTTER,HOME BUILDING BLOCK WORD,0.0021,0.0498,0.0359,0.85,23
CHOCOLATE HOT WATER BOTTLE,NATURAL SLATE HEART CHALKBOARD,0.0041,0.0696,0.0507,0.85,45
DOORMAT UNION FLAG,LUNCH BAG RED RETROSPOT,0.0036,0.0871,0.0351,0.85,39
COOK WITH WINE METAL SIGN,PARTY BUNTING,0.0047,0.0934,0.0425,0.85,51
JUMBO BAG VINTAGE DOILY,WOODEN PICTURE FRAME WHITE FINISH,0.0033,0.0652,0.0428,0.85,36
HOT WATER BOTTLE KEEP CALM,JAM MAKING SET WITH JARS,0.0035,0.057,0.052,0.85,38
GREEN REGENCY TEACUP AND SAUCER,SPOTTY BUNTING,0.0038,0.0675,0.0473,0.85,41
HOT WATER BOTTLE TEA AND SYMPATHY,JUMBO STORAGE BAG SUKI,0.0025,0.0559,0.0378,0.85,27
IVORY KITCHEN SCALES,JUMBO BAG RED RETROSPOT,0.0048,0.1097,0.037,0.85,52
ALARM CLOCK BAKELIKE GREEN,CHOCOLATE HOT WATER BOTTLE,0.0031,0.0504,0.0526,0.85,34
CHOCOLATE HOT WATER BOTTLE,SET OF 3 REGENCY CAKE TINS,0.0025,0.0417,0.0505,0.85,27
PAPER BUNTING RETROSPOT,REX CASH+CARRY JUMBO SHOPPER,0.0025,0.0614,0.0343,0.85,27
HOT WATER BOTTLE KEEP CALM,WHITE HANGING HEART T-LIGHT HOLDER,0.0085,0.1394,0.0518,0.85,93
